101742,翼虎,neu
101742,福特,pos
119578,雷克萨斯,neu
119578,大众,neu
119578,3系,neu
119578,a6,neu
119578,奔驰,neu
106624,长安,neu
125843,大众,neu
125843,q7,neu
125843,奥迪,neu
125843,途锐,neu
125843,保时捷卡宴,neu
108946,东风雪铁龙,neu
127383,福特,neg
110774,帝豪,neu
117234,轩逸,neu
127239,传祺,neu
124336,兰博基尼,pos
124336,长安铃木奥拓,neu
111168,本田,pos
124312,速腾,neu
104737,广汽传祺,neu
114909,别克君威,neu
118349,大众迈腾,neu
118349,奔驰,neu
118349,奥迪a4,neu
118349,宝马3系,neu
113687,瑞风,neu
127213,奥迪,neu
103005,帕萨特,neu
113990,雪佛兰迈锐宝xl,neu
113990,迈锐宝,neu
113990,上汽通用,neu
121848,晶锐,pos
119206,长安,neu
117162,雪铁龙,neu
100694,迈腾,neu
100694,捷达,pos
117835,昂科威,neu
109142,奥迪,neu
109448,东风雪铁龙,pos
127756,速派,pos
106256,大众,neu
123859,宝马x1,neu
123859,x1,neu
130485,帕萨特,neu
115446,雷诺,neu
115446,总裁,neu
115446,日产,neu
115446,福特,neu
109996,海马,neu
105360,北汽幻速,pos
123864,翼虎,neu
100846,帕萨特,neu
112849,沃尔沃,neu
112849,吉利,neu
124237,朗逸,neu
124237,卡罗拉,neu
124237,大众,pos
124237,爱信,pos
114516,海马,pos
101044,飞度,neu
128266,三菱,neu
128266,280,neu
121359,三菱,neu
129402,途观,pos
129402,上汽大众,neu
103417,i5,neu
103417,宝马,neu
104205,英菲尼迪,neu
121010,奥迪,neu
126169,宝马,pos
102800,大众新途观,neu
130345,蒙丢丢,neu
130345,昂科威,neu
129411,本田,neu
127694,长安,pos
100613,上海大众帕萨特,neu
125333,英菲尼迪,neu
124044,标致308,neu
132838,福克斯,neu
120809,别克昂科拉,neu
114333,宝马,neu
112831,宝马,neu
117575,宝骏,pos
116840,昂科威,neu
116840,翼虎,neu
105251,宝马,neu
100497,博越,neu
100497,ix35,neu
100497,途观,neu
132224,轩逸,neu
132224,逍客,neu
130154,宝马,pos
130097,明锐,neu
127710,标致301,neu
101830,远景,neu
119230,众泰z700,pos
106680,奔腾b50,pos
124557,大众朗逸,pos
111918,奥迪,neu
123892,哈弗,neu
106176,标志,neu
106176,兰博基尼,neu
112977,朗逸,neu
112977,迈腾,neu
112977,大众,neu
112977,途锐,neu
112977,宝来,neu
112977,尚酷,neu
101552,帕萨特,neu
116335,瑞风,pos
123165,高尔夫,neu
108834,宝骏310,pos
101038,宝马,neu
110148,通用,neu
110148,雪佛兰,neu
124254,汉兰达,neu
120507,9代思域,neu
120507,本田,neu
118118,帕萨特,neg
107023,迈腾b8,neu
101766,凯迪拉克,neu
101766,ats-l,neu
120589,海马,pos
128965,阿尔法·罗密欧,neu
128965,菲亚特,neu
126127,英朗,neu
128718,mini,neu
108274,发现,pos
121136,高尔夫,neu
115025,奇骏,neu
112189,凌渡,pos
126181,轩逸,neu
125376,全顺,neu
125376,福特,neu
111382,k5,pos
111382,x3,neu
111382,日产,neu
111382,起亚,neu
101913,奇骏,pos
105456,大众,pos
118387,索纳塔,neu
115259,发现,neu
125733,林肯,neu
110744,广汽传祺,neu
129098,奥迪,pos
115296,本田crv,neu
115296,丰田rav4,neu
123667,路虎,neu
123667,捷豹,neu
123667,mini,neu
111577,大众polo,neu
123291,迈锐宝,neu
110171,长安铃木,neu
110171,锋驭,neg
109169,速派,neu
109169,280,neu
110440,北京现代ix25,neu
104474,福美来,neu
103858,奥迪,neu
103858,a6,neu
111162,布加迪,neu
104238,长安,neu
103773,东风雪铁龙,pos
124983,骊威,neu
105191,途观,neu
112031,梅赛德斯-奔驰,neu
120873,迈腾b8,pos
120873,高尔夫7,neu
110447,大众,pos
108966,北汽幻速,neu
101362,宝马X5,neu
127069,科帕奇,neu
113759,一汽-大众,neg
120603,长安,pos
116999,宝马,neu
116999,宝马3系,neu
115428,荣威360,neu
107439,宝马,neu
101818,上汽大众,neu
124743,凯迪拉克,neu
123142,长安,pos
123142,哈弗,neu
123142,比亚迪元,neu
123142,瑞风,neu
114515,奥迪,neu
114515,宝马,neu
113585,广汽传祺,neu
104329,比亚迪,neu
108944,凌渡,neu
108944,280,neu
115240,迈锐宝,neu
108463,大众,neu
105933,汉兰达,neu
110725,雪佛兰,neu
117042,奇骏,neu
117042,东风日产,neu
106553,桑塔纳·浩纳,pos
106457,宝马,neu
130135,博越,pos
130135,吉利博瑞,neu
102140,长安,neu
105051,辉腾,neu
103584,大众,neu
116998,日产,neu
116998,阳光,pos
128308,雪佛兰科鲁兹,neu
128308,科鲁兹,neu
113890,威朗,neu
113890,凯越,neu
113890,昂科威,neu
113890,别克,neu
113890,君威,neu
113890,君越,neu
113890,英朗,neu
113890,昂克拉,neu
117769,金牛座,neu
117769,君越,neu
115674,东风雪铁龙,neu
113986,蓝鸟,neu
112028,昂科威,neu
112028,君越,neu
109606,名爵,neu
105705,宝马,pos
108593,本田思域,neu
113437,雪佛兰,neu
113437,科帕奇,neu
116282,雷克萨斯,neu
128482,奥迪,neu
111853,北汽幻速h2,pos
111853,北汽幻速,neu
130066,大众,neu
130066,福特,neu
100042,长安铃木,neu
114262,东风日产天籁,pos
114262,天籁,neu
114262,东风日产,neu
125318,雷凌双擎,pos
114994,北京,neu
126612,哈弗,neu
126612,麦弗逊,pos
101488,蒙迪欧,neu
101488,福克斯,neu
101488,致胜,neu
116466,凯越,neu
118628,东风,neu
118628,标致雪铁龙,neu
104524,大众,pos
104524,朗行,pos
127778,奥迪,neu
104959,瑞风s3,neu
107381,雅阁,neu
107381,思铂睿,neu
114742,翼搏,neu
114742,福特,neu
118240,奔驰,pos
102428,逍客,neu
117865,昂科拉,pos
105346,大众凌渡,pos
111205,别克,neu
105227,轩逸,neu
101712,哈弗,neu
101712,哈弗h8,neu
111688,奥迪,neu
113361,帕萨特,neu
101788,奇骏,neu
121398,英朗,neu
109878,骊威,neg
105724,威朗,neu
105724,别克,neu
132757,哈弗,neu
101029,帕萨特,neu
101029,大众,neu
101029,途观,neu
101029,上汽大众,neu
126775,马自达,neu
119212,帕萨特,pos
114086,长安福特,neu
114086,锐界,neu
116005,途观,neu
132173,奇骏,neu
132173,逍客,neu
109494,威驰,neu
107188,长安逸动,neu
107188,逸动,neu
107188,长安悦翔,neu
103165,轩逸,neu
104419,奔驰,neu
104419,大众桑塔纳,neu
126564,宝来,pos
126358,途观,neu
130593,别克昂科威,neu
121150,途锐,pos
106822,飞度,neu
111598,雷克萨斯,pos
106100,大众,neu
126084,丰田,neu
126084,奇骏,pos
126084,RAV4,neu
123685,哈弗,pos
106681,迈锐宝,pos
108678,途安L,pos
106253,五菱,neu
106253,宝骏,neu
108773,汉兰达,pos
108773,锐界,neu
110971,路虎,neu
110971,宝马,neu
110971,奔驰,neu
113954,桑塔纳,neu
104117,朗动,neu
122956,蓝鸟,neu
122956,轩逸,neu
108129,哈弗,pos
116643,轩逸,neu
116643,思域,neu
118410,发现,neu
