S30000	天籁公爵	0
S30001	兰博基尼	0
S30001	众泰	0
S30001	江淮	0
S30002	威朗	0
S30003	奥迪	0
S30003	q7	0
S30004	东风标致	0
S30005	奔驰	0
S30006	丰田	0
S30007	宝马	0
S30008	哈弗h6	1
S30009	宝骏730	0
S30010	吉利	0
S30010	哈弗	0
S30010	ec715	1
S30011	宝骏560	0
S30012	名图	0
S30013	高尔夫r	0
S30014	玛莎拉蒂	0
S30015	名图	1
S30016	奥迪	0
S30017	飞度	0
S30018	福特	0
S30019	上海大众	0
S30020	北京奔驰	1
S30021	途安	0
S30022	奥迪	1
S30023	丰田	0
S30024	奔驰s级	0
S30024	劳斯莱斯幻影	0
S30024	迈巴赫	0
S30025	c4l	1
S30025	雪铁龙	1
S30026	力帆	1
S30027	天籁	0
S30028	迈腾	0
S30028	速腾	0
S30029	速腾	0
S30030	本田思域	0
S30031	大众	0
S30031	宝马	0
S30031	雪铁龙	0
S30032	红旗	0
S30033	奔驰	0
S30034	幻影	0
S30034	布加迪	0
S30034	拉法	0
S30035	沃尔沃	0
S30036	雪佛兰	0
S30037	大切诺基overlander	0
S30038	雷凌	0
S30039	福睿斯	0
S30040	大众	0
S30041	捷达	0
S30042	奥迪	0
S30043	别克	0
S30044	卡罗拉	0
S30044	威驰	0
S30044	驭胜s330	0
S30044	北汽幻速s3l	0
S30044	雅阁	0
S30044	一汽丰田	0
S30045	大众	0
S30046	别克	0
S30047	铃木sx4s-cross	0
S30048	宝马	0
S30049	帝豪ec7	0
S30050	吉利	0
S30050	长安	0
S30050	长安逸动	0
S30050	吉利帝豪	0
S30051	哈弗h2	0
S30052	奥迪s3	0
S30053	雅阁	0
S30054	途观	0
S30054	马自达cx5	0
S30054	唐	0
S30054	昂科威	0
S30055	别克君威	0
S30056	宝马	0
S30057	宝马i8	0
S30058	大众朗逸	0
S30059	宝马	0
S30060	东风标致308s	0
S30060	标致308s	0
S30061	宝马3系	0
S30061	宝马	0
S30061	奔驰e级	0
S30061	雷克萨斯	0
S30062	ix35	0
S30063	标致207	0
S30064	英朗	0
S30065	昕动	0
S30065	浩纳	0
S30066	长安	0
S30067	中华h3	0
S30068	观致3	1
S30069	凯美瑞	1
S30070	林肯	1
S30071	天籁	0
S30072	a7	0
S30072	奥迪a6l	0
S30073	东风雪铁龙	0
S30074	奥迪q7	0
S30075	凯越	0
S30075	大众速腾	0
S30075	福克斯	0
S30076	东风标致	0
S30077	伊兰特	0
S30078	翼虎	1
