100000	雷克萨斯	0
100001	凯越	0
100002	哈弗	0
100003	兰博基尼	0
100004	280	0
100004	君威	0
100004	凌度	0
100005	长安	0
100006	雷诺	0
100007	哈弗	0
100008	高尔夫	0
100009	北京现代	0
100010	麦弗逊	0
100011	发现	0
100012	捷达	0
100013	本田	0
100014	朗逸	0
100015	马自达	0
100015	长安马自达	0
100016	宝马	0
100017	宝来	0
100018	劳斯莱斯幻影	0
100019	夏朗	0
100019	高尔夫	0
100019	宝来	0
100019	smart	0
100020	大众	0
100020	上汽大众斯柯达	0
100020	速派	0
100020	DS	0
100021	宝马	0
100022	广汽传祺	0
100023	猎豹CS10	0
100024	普拉多	0
100026	汉兰达	0
100027	比亚迪	0
100028	rx5	0
100028	荣威	0
100028	北京	0
100029	轩逸	0
100030	翼虎	0
100031	一汽奔腾	0
100031	奔腾	0
100033	速腾	0
100034	本田思域	0
100035	宝马5系	0
100035	辉昂	0
100035	大众	0
100035	奥迪A6L	0
100035	奔驰E级	0
100036	rav4	0
100036	一汽丰田	0
100036	荣放	0
100037	桑塔纳	0
100038	雅阁	0
100038	迈锐宝	0
100039	东风	0
100039	东风日产	0
100040	宝马x1	0
100040	x3	0
100040	x6	0
100041	哈弗	0
100042	长安铃木	0
100043	奇骏	0
100043	日产	0
100044	凯迪拉克PHEV	0
100045	polo	0
100046	长安	0
100046	睿骋CC	0
100047	东风	0
100047	东风雪铁龙	0
100048	东风雪铁龙	0
100049	锐界	0
100049	汉兰达	0
100050	朗逸	0
100051	宝马	1
100053	日产	0
100053	天籁	1
100054	保时捷	1
100055	斯柯达昕锐	0
100057	丰田	0
100057	威驰	0
100058	英朗	0
100059	汉兰达	0
100060	保时捷	0
100060	众泰	0
100061	锐界	0
100062	奇骏	0
100063	宝骏560	0
100064	奥迪	0
100065	凯迪拉克	0
100066	福特	0
100067	宝马	0
100068	东风悦达起亚	0
100068	江淮	0
100068	一汽大众	0
100068	东风本田	0
100068	一汽马自达	0
100069	英朗	0
100070	本田	0
100070	十代思域	0
100071	劳斯莱斯	0
100072	长安	0
100073	夏利	0
100074	比亚迪	0
100074	比亚迪唐	0
100075	大众	0
100075	哈弗	0
100076	途观	0
100077	大众	0
100078	汉兰达	0
100078	力帆	0
100079	斯柯达	1
100080	朗行	0
100081	标致4008	0
100082	长安cs75	0
100083	一汽奥迪	0
100084	奥迪	0
100084	奔驰	0
100084	宝马	0
100085	天籁	0
100086	广汽丰田	0
100086	凯美瑞	0
100087	奥迪	0
100087	ABB	0
100087	奔驰	0
100087	宝马	0
100088	迈锐宝	0
100089	长安	0
100090	凯迪拉克	0
100092	翼虎	0
100093	轩逸	0
100093	蓝鸟	0
100094	江淮	0
100095	北京奔驰	0
100096	发现	1
100097	东风日产	0
100098	奥迪	0
100099	昂科威	0
100099	别克	0
100100	斯柯达野帝2	0
100101	速腾	1
100102	广汽传祺	0
100102	a3	0
100103	凯迪拉克	0
100103	迈锐宝	0
100103	雪佛兰	0
100104	大众	0
100104	别克	0
100104	凯越	0
100104	捷达	0
100105	途观	0
100106	三菱	0
100106	众泰T700	0
100107	奥迪	0
100107	观致	0
100108	沃尔沃	0
100108	宝马	0
100109	众泰	0
100110	上汽	0
100110	上汽荣威	0
100110	荣威	0
100111	捷豹	0
100112	奥迪	0
100112	q3	0
100113	起亚	0
100114	昂科威	0
100114	3008	0
100115	汉兰达	0
100116	迈锐宝	0
100117	胜达	0
100117	北京现代	0
100117	ix35	0
100117	北京	0
100117	索纳塔	0
100118	别克	0
100119	长安	0
100120	凌渡280	0
100121	斯巴鲁	0
100122	帕萨特	0
100123	雅阁	0
100123	凯美瑞	0
100124	大众宝来	0
