异响	267.5
问题	238.58
召回	186.08
严重	170.98
故障	123.95
不	110.31
抖动	104.37
太	94.85
解决	90.36
4S店	90.08
4s店	90.06
漏油	88.65
投诉	83.03
出现	74.21
机油	72.73
怠	66.75
欺诈	64.05
熄火	61.82
声音	61.58
很	59.6
导致	59.16
漏水	59.1
存在	56.67
烧	54.91
空间	52.97
安全隐患	50.37
质量	48.21
缺陷	47.21
响	47.13
突然	44.24
自燃	43.43
？	42.29
坏	42.21
异味	42.17
怎么回事	41.77
隐患	41.74
客服	41.56
不予	41.56
不好	39.7
不行	37.75
维修	35.83
顿挫	35.3
感觉	34.45
刹车	34.38
差	34.24
无法	34.09
共振	33.6
生锈	33.25
下滑	32.36
维权	31.1
失灵	31.1
存	29.55
档	29.2
损坏	29.1
欺骗	29.1
断裂	29.1
有点	28.5
事件	28.46
合格证	28.25
现象	26.96
有限公司	26.28
发动机	26.01
设计	25.93
外观	25.83
开裂	24.94
不错	24.88
噪音	23.77
门	23.67
尾气	23.63
比较	23.34
销量	23.09
空调	22.37
赔偿	22.23
怎么办	22.16
变速箱	22.08
有异响	21.5
响声	21.5
简配	21.5
非常	20.89
保	20.88
无果	20.78
裂纹	20.78
冷车	20.78
黑屏	20.78
刺鼻	20.78
气囊	20.72
加油	20.56
让	20.43
配置	20.33
不到	20.29
更	20.26
原因	19.96
起步	19.87
保修期	19.87
太小	19.81
厂家	19.74
轮胎	19.69
行驶	19.6
喜欢	19.51
制冷	19.34
故障率	19.33
下跌	19.32
吗	19.12
厉害	18.97
渗油	18.83
车型	18.71
螺丝	18.64
不够	18.62
行为	18.44
动力	18.23
还是	18.18
大众公司	18.09
实在	17.67
拖挡	17.5
合格	17.5
拒绝	17.22
正常	17.08
排放	16.79
影响	16.64
熏	16.63
脱落	16.63
退还	16.63
解决办法	16.63
抖	16.63
大兴	16.63
换	16.59
车	16.56
上	16.47
垃圾	16.42
方向机	16.42
好	16.37
难看	16.32
偏	16.3
内饰	15.97
后排	15.55
慢	15.54
次	15.5
咋	15.25
满意	14.84
自起	14.78
锈蚀	14.78
频繁	14.78
跟不上	14.78
打不开	14.78
爆裂	14.78
声	14.77
死	14.75
打不着	14.71
粗糙	14.71
座椅	14.65
感	14.65
大	14.64
噪	14.57
码	14.53
发出	14.46
明显	14.1
放弃	14.07
操控	14.05
它	13.97
开	13.88
确实	13.85
高	13.7
油耗	13.7
索赔	13.55
丑闻	13.55
柴油车	13.55
迟迟	13.51
调查	13.4
山寨	13.4
油门	13.38
未	13.22
！	12.84
美国	12.78
事故	12.7
烫	12.63
发生	12.61
