SentenceId	0.50000000
S30000	0.83802068
S30001	0.93999297
S30002	0.84782437
S30003	0.00519220
S30004	0.73719169
S30005	0.16371592
S30006	0.88022997
S30007	0.08048233
S30008	0.98799786
S30009	0.52860249
S30010	0.99983347
S30011	0.82813043
S30012	0.74705913
S30013	0.10743427
S30014	0.26549269
S30015	0.73798361
S30016	0.00899218
S30017	0.00030203
S30018	0.35585990
S30019	0.48832487
S30020	0.99999990
S30021	0.99325066
S30022	0.93985875
S30023	0.41852273
S30024	0.00030603
S30025	0.99932068
S30026	0.99565503
S30027	0.95570307
S30028	0.37887181
S30029	0.41538965
S30030	0.00855187
S30031	0.89974810
S30032	0.65986416
S30033	0.25810355
S30034	0.96323603
S30035	0.91145673
S30036	0.22618952
S30037	0.00210924
S30038	0.99143154
S30039	0.00022941
S30040	0.08343171
S30041	0.44720008
S30042	0.91364453
S30043	0.99847922
S30044	0.98153434
S30045	0.86609640
S30046	0.59131650
S30047	0.99999669
S30048	0.83173570
S30049	0.97244214
S30050	0.99999853
S30051	0.99856968
S30052	0.80876975
S30053	0.01198036
S30054	0.99998704
S30055	0.97570023
S30056	0.99961973
S30057	0.68644032
S30058	0.15048029
S30059	0.34005774
S30060	0.99732471
S30061	0.04257988
S30062	0.98468810
S30063	0.03239681
S30064	0.31167073
S30065	0.96478092
S30066	0.99999072
S30067	0.25122206
S30068	0.27682479
S30069	0.99939066
S30070	0.00344225
S30071	0.59410091
S30072	0.89835237
S30073	0.85806387
S30074	0.12669401
S30075	0.03365466
S30076	0.87377799
S30077	0.57801234
S30078	0.99977945
S30079	0.99660824
S30080	0.99999869
S30081	0.39445524
S30082	0.00043028
S30083	0.09455905
S30084	0.27055808
S30085	0.92911947
S30086	0.89948804
S30087	0.20997470
S30088	0.04125527
S30089	0.88505723
S30090	0.94603667
S30091	0.14487484
S30092	0.05190612
S30093	0.02285100
S30094	0.00120984
S30095	0.93271473
S30096	0.08215480
S30097	0.97946987
S30098	0.95110730
S30099	0.18475604
S30100	0.00004671
S30101	0.87856428
S30102	0.60083120
S30103	0.41817801
S30104	0.09412343
S30105	0.97421149
S30106	0.94824618
S30107	0.00005206
S30108	0.15095650
S30109	0.00989353
S30110	0.55187136
S30111	0.88715803
S30112	0.00024718
S30113	0.33703402
S30114	0.94247848
S30115	0.98624631
